timestamps,VehicleSpeed,Throttle,Gear,EngineRpm,Brake
0.0,0.6075821876254398,0.0,1,600.0,2281.0
0.04,0.13184550846113788,0.0,1,600.0,2282.0
0.08,-0.33983031445174616,0.0,1,600.0,2282.0
0.12000000000000001,0.2891756884649101,0.0,1,600.0,2282.0
0.16000000000000003,-0.18416447953955123,0.0,1,600.0,2282.0
0.2,0.4434426261551433,0.0,1,600.0,2282.0
0.24000000000000005,-0.03130285737728287,0.0,1,600.0,2281.0
0.28,0.5949262169414028,0.0,1,600.0,2281.0
0.32,0.11924061778350095,0.0,1,600.0,2282.0
0.36000000000000004,-0.35232100043475695,0.0,1,600.0,2282.0
0.4,0.2767970580128862,0.0,1,600.0,2281.0
0.44000000000000006,-0.19643055674176024,0.0,1,600.0,2282.0
0.48000000000000004,0.43105079325637335,0.0,1,600.0,2281.0
0.521,-0.043581624683862424,0.0,1,600.0,2281.0
0.5599999999999999,0.5825221537406963,0.0,1,600.0,2282.0
0.6,0.1068865711773448,0.0,1,600.0,2282.0
0.64,-0.3647992932656034,0.0,1,600.0,2283.0
0.68,0.2644306810178168,0.0,1,600.0,2282.0
0.72,-0.20892066996028724,0.0,1,600.0,2282.0
0.76,0.41890920562507467,0.0,1,600.0,2282.0
0.8,-0.055612460626293714,0.0,1,600.0,2281.0
0.84,0.5708360500798412,0.0,1,600.0,2282.0
0.88,0.09524754684084702,0.0,1,600.0,2281.0
0.92,-0.376332922128814,0.0,1,600.0,2282.0
0.959,0.2527643233927184,0.0,1,600.0,2283.0
1.0000000000000002,-0.22024486226376755,0.0,1,600.0,2281.0
1.04,0.40792302385206586,0.0,1,600.0,2281.0
1.08,-0.06626230934353497,0.0,1,600.0,2282.0
1.1210000000000002,0.5600461536933653,0.0,1,600.0,2282.0
1.1600000000000001,0.08426493617346646,0.0,1,600.0,2282.0
1.2000000000000002,-0.38721610672074785,0.0,1,600.0,2282.0
1.2400000000000002,0.24221484885733333,0.0,1,600.0,2282.0
1.2800000000000002,-0.23069849191603123,0.0,1,600.0,2281.0
1.32,0.39732725947168596,0.0,1,600.0,2282.0
1.36,-0.07676147121164884,0.0,1,600.0,2281.0
1.4000000000000001,0.5498778573994256,0.0,1,600.0,2282.0
1.439,0.07439608282602204,0.0,1,600.0,2282.0
1.4800000000000002,-0.39699563787218295,0.0,1,600.0,2281.0
1.5200000000000002,0.23252296876136852,0.0,1,600.0,2281.0
1.5600000000000003,-0.24006619196908915,0.0,1,600.0,2281.0
1.6,0.3878076416208787,0.0,1,600.0,2282.0
